id,IR,MR,FF,CR,CO,OP,MC,Class
1,P,P,A,A,A,P,A,NB
2,N,N,A,A,A,N,A,NB
3,A,A,A,A,A,A,A,NB
4,P,P,P,P,P,P,P,NB
5,N,N,P,P,P,N,P,NB
6,A,A,P,P,P,A,P,NB
7,P,P,A,P,P,P,P,NB
8,P,P,P,A,A,P,A,NB
9,P,P,A,P,A,P,A,NB
10,P,P,A,A,P,P,P,NB
11,P,P,P,P,A,P,A,NB
12,P,P,P,A,P,P,P,NB
13,N,N,A,P,P,N,P,NB
14,N,N,P,A,A,N,A,NB
15,N,N,A,P,A,N,A,NB
16,N,N,A,P,A,N,A,NB
17,N,N,A,A,P,N,P,NB
18,N,N,P,P,A,N,A,NB
19,N,N,P,A,P,N,P,NB
20,A,A,A,P,P,A,P,NB
21,A,A,P,A,A,A,A,NB
22,A,A,A,P,A,A,A,NB
23,A,A,A,A,P,A,P,NB
24,A,A,P,P,A,A,A,NB
25,A,A,P,A,P,A,P,NB
26,P,N,A,A,A,P,A,NB
27,N,P,A,A,A,N,A,NB
28,P,N,A,A,A,N,A,NB
29,P,N,P,P,P,P,P,NB
30,N,P,P,P,P,N,P,NB
31,P,N,P,P,P,N,P,NB
32,N,N,A,P,P,P,P,NB
33,P,N,P,A,A,P,A,NB
34,N,P,A,P,A,P,A,NB
35,N,P,A,A,P,N,P,NB
36,P,N,P,P,A,N,A,NB
37,N,P,P,A,P,A,P,NB
38,A,N,A,P,P,A,P,NB
39,A,P,P,A,A,A,A,NB
40,A,A,A,P,A,P,A,NB
41,A,A,A,A,P,N,P,NB
42,N,A,P,P,P,N,P,NB
43,A,N,P,A,P,N,P,NB
44,A,P,P,A,P,N,P,NB
45,N,N,P,A,P,P,P,NB
46,N,N,P,P,P,P,P,NB
47,P,A,P,P,P,N,P,NB
48,A,P,P,P,P,N,P,NB
49,A,N,N,A,P,P,P,NB
50,A,P,P,A,P,P,P,NB
51,P,A,P,A,P,N,P,NB
52,A,N,A,A,P,P,P,NB
53,A,N,A,A,P,N,P,NB
54,A,N,A,A,P,A,P,NB
55,A,A,N,P,P,A,P,NB
56,A,A,N,P,P,P,P,NB
57,A,P,P,P,P,P,P,NB
58,A,P,A,A,A,P,A,NB
59,N,P,N,P,P,A,P,NB
60,N,N,P,P,P,A,P,NB
61,A,A,A,P,P,A,P,NB
62,A,A,A,P,P,P,P,NB
63,P,A,A,P,P,P,P,NB
64,A,N,N,P,P,A,P,NB
65,P,N,N,P,P,A,P,NB
66,A,A,N,P,P,P,P,NB
67,P,A,P,N,P,N,P,NB
68,P,A,N,A,P,N,P,NB
69,P,P,P,A,P,N,P,NB
70,P,A,P,N,P,N,P,NB
71,P,A,A,P,P,N,P,NB
72,P,P,A,P,P,P,P,NB
73,P,A,P,A,P,P,P,NB
74,P,P,A,A,P,N,P,NB
75,A,A,A,A,A,P,A,NB
76,P,P,A,P,P,N,P,NB
77,A,P,N,P,A,P,A,NB
78,A,P,A,P,A,P,A,NB
79,P,A,N,A,P,A,P,NB
80,A,P,N,P,A,P,A,NB
81,P,A,A,A,P,A,P,NB
82,A,P,A,P,A,P,A,NB
83,A,P,P,P,P,P,P,NB
84,P,A,A,N,P,P,P,NB
85,A,P,A,A,A,P,A,NB
86,A,N,N,N,P,P,P,NB
87,N,P,N,P,P,A,P,NB
88,P,N,A,N,A,P,A,NB
89,N,N,P,P,P,A,P,NB
90,A,A,A,P,P,A,P,NB
91,A,A,A,P,P,P,P,NB
92,P,A,A,P,P,P,P,NB
93,A,N,N,P,P,A,P,NB
94,A,A,N,P,P,P,P,NB
95,P,A,P,N,P,N,P,NB
96,P,P,P,A,P,N,P,NB
97,P,A,P,N,P,N,P,NB
98,P,A,A,P,P,N,P,NB
99,P,P,A,P,P,P,P,NB
100,P,A,P,A,P,P,P,NB
101,P,P,A,A,P,N,P,NB
102,A,A,A,A,A,P,A,NB
103,P,P,A,P,P,N,P,NB
104,A,P,N,P,A,P,A,NB
105,P,A,A,A,P,A,P,NB
106,A,P,A,P,A,P,A,NB
107,A,P,N,P,A,P,A,NB
108,A,P,A,P,A,P,A,NB
109,P,P,A,A,A,P,A,NB
110,N,N,A,A,A,N,A,NB
111,A,A,A,A,A,A,A,NB
112,P,P,P,P,P,P,P,NB
113,N,N,P,P,P,N,P,NB
114,A,A,P,P,P,A,P,NB
115,P,P,A,P,P,P,P,NB
116,P,P,P,A,A,P,A,NB
117,P,P,A,P,A,P,A,NB
118,P,P,A,A,P,P,P,NB
119,P,P,P,P,A,P,A,NB
120,P,P,P,A,P,P,P,NB
121,N,N,A,P,P,N,P,NB
122,N,N,P,A,A,N,A,NB
123,N,N,A,P,A,N,A,NB
124,N,N,A,P,A,N,A,NB
125,N,N,A,A,P,N,P,NB
126,N,N,P,P,A,N,A,NB
127,N,N,P,A,P,N,P,NB
128,A,A,A,P,P,A,P,NB
129,A,A,P,A,A,A,A,NB
130,A,A,A,P,A,A,A,NB
131,A,A,A,A,P,A,P,NB
132,A,A,P,P,A,A,A,NB
133,A,A,P,A,P,A,P,NB
134,P,N,A,A,A,P,A,NB
135,N,P,A,A,A,N,A,NB
136,P,N,A,A,A,N,A,NB
137,P,N,P,P,P,P,P,NB
138,N,P,P,P,P,N,P,NB
139,P,N,P,P,P,N,P,NB
140,N,N,A,P,P,P,P,NB
141,P,N,P,A,A,P,A,NB
142,N,P,A,P,A,P,A,NB
143,N,P,A,A,P,N,P,NB
144,A,N,N,N,N,A,N,B
145,P,N,N,N,N,N,N,B
146,N,P,N,N,N,N,N,B
147,A,P,N,A,N,N,N,B
148,N,N,N,N,N,N,N,B
149,N,N,N,A,N,A,N,B
150,N,N,N,N,N,P,N,B
151,N,N,N,N,N,A,N,B
152,N,N,N,A,N,P,N,B
153,N,N,N,A,N,N,N,B
154,N,N,A,N,N,N,N,B
155,P,N,N,N,N,N,N,B
156,A,N,N,N,N,N,N,B
157,N,N,N,N,N,N,N,B
158,P,N,N,N,A,A,A,B
159,A,N,N,N,N,A,N,B
160,A,N,N,N,N,A,N,B
161,A,A,N,N,N,P,N,B
162,A,N,N,N,N,N,N,B
163,P,A,N,N,N,A,N,B
164,P,N,N,N,N,P,N,B
165,P,A,N,N,N,N,N,B
166,P,N,N,N,N,N,N,B
167,N,A,N,N,N,P,N,B
168,N,N,N,N,N,A,N,B
169,A,A,N,N,N,N,N,B
170,A,A,N,N,N,N,N,B
171,P,P,N,N,N,N,N,B
172,A,P,N,N,N,N,N,B
173,P,A,N,N,N,N,N,B
174,A,N,N,N,N,N,N,B
175,N,N,N,N,N,N,N,B
176,N,A,N,N,N,N,N,B
177,P,N,N,N,N,N,N,B
178,N,P,N,N,N,N,N,B
179,A,P,N,A,N,N,N,B
180,N,N,N,P,N,P,N,B
181,N,N,N,N,N,N,N,B
182,N,N,N,A,N,A,N,B
183,N,N,N,P,N,N,N,B
184,N,N,N,N,N,P,N,B
185,N,N,N,N,N,A,N,B
186,N,N,N,A,N,P,N,B
187,N,N,N,A,N,N,N,B
188,N,N,A,N,N,N,N,B
189,P,N,N,N,N,N,N,B
190,A,N,N,N,N,N,N,B
191,N,N,N,N,N,N,N,B
192,P,N,N,N,A,A,A,B
193,P,N,N,N,A,A,A,B
194,A,N,N,N,N,A,N,B
195,N,N,N,N,N,A,N,B
196,N,P,N,N,N,N,N,B
197,A,P,N,A,N,N,N,B
198,N,N,N,N,N,N,N,B
199,N,N,N,A,N,A,N,B
200,N,N,N,P,N,N,N,B
201,N,N,N,N,N,P,N,B
202,N,N,N,N,N,A,N,B
203,N,N,N,A,N,P,N,B
204,P,N,N,N,N,P,N,B
205,P,A,N,N,N,N,N,B
206,P,N,N,N,N,N,N,B
207,N,A,N,N,N,P,N,B
208,N,N,N,N,N,A,N,B
209,A,A,N,N,N,N,N,B
210,A,A,N,N,N,N,N,B
211,N,N,N,A,N,N,N,B
212,N,N,A,N,N,N,N,B
213,P,N,N,N,N,N,N,B
214,A,N,N,N,N,N,N,B
215,N,N,N,N,N,N,N,B
216,N,A,P,A,N,P,N,B
